start	end	CRUD_Test
r0 := @this: simple.logic.Logic	$r14 := @caughtexception	0
r0 := @this: simple.logic.Logic	$r20 := @caughtexception	0
r0 := @this: simple.logic.Logic	$r1 = new java.io.File	0
$r1 = new java.io.File	$r14 := @caughtexception	1
$r1 = new java.io.File	$r20 := @caughtexception	1
$r1 = new java.io.File	specialinvoke $r1.<java.io.File: void <init>(java.lang.String)>("test.txt")	1
specialinvoke $r1.<java.io.File: void <init>(java.lang.String)>("test.txt")	$r14 := @caughtexception	0
specialinvoke $r1.<java.io.File: void <init>(java.lang.String)>("test.txt")	$r20 := @caughtexception	0
specialinvoke $r1.<java.io.File: void <init>(java.lang.String)>("test.txt")	r2 = $r1	0
r2 = $r1	$r14 := @caughtexception	1
r2 = $r1	$r20 := @caughtexception	1
r2 = $r1	$r4 = new java.io.FileReader	0
$r4 = new java.io.FileReader	$r14 := @caughtexception	1
$r4 = new java.io.FileReader	$r20 := @caughtexception	1
$r4 = new java.io.FileReader	specialinvoke $r4.<java.io.FileReader: void <init>(java.io.File)>(r2)	1
specialinvoke $r4.<java.io.FileReader: void <init>(java.io.File)>(r2)	$r14 := @caughtexception	0
specialinvoke $r4.<java.io.FileReader: void <init>(java.io.File)>(r2)	$r20 := @caughtexception	0
specialinvoke $r4.<java.io.FileReader: void <init>(java.io.File)>(r2)	r3 = $r4	0
r3 = $r4	$r14 := @caughtexception	1
r3 = $r4	$r20 := @caughtexception	1
r3 = $r4	goto [?= $i3 = virtualinvoke r3.<java.io.FileReader: int read()>()]	1
goto [?= $i3 = virtualinvoke r3.<java.io.FileReader: int read()>()]	$r14 := @caughtexception	0
goto [?= $i3 = virtualinvoke r3.<java.io.FileReader: int read()>()]	$r20 := @caughtexception	0
goto [?= $i3 = virtualinvoke r3.<java.io.FileReader: int read()>()]	$i3 = virtualinvoke r3.<java.io.FileReader: int read()>()	0
$r5 = r0.<simple.logic.Logic: java.util.List data>	$r14 := @caughtexception	1
$r5 = r0.<simple.logic.Logic: java.util.List data>	$r20 := @caughtexception	1
$r5 = r0.<simple.logic.Logic: java.util.List data>	$c1 = (char) i0	1
$c1 = (char) i0	$r14 := @caughtexception	1
$c1 = (char) i0	$r20 := @caughtexception	1
$c1 = (char) i0	$r6 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c1)	1
$r6 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c1)	$r14 := @caughtexception	1
$r6 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c1)	$r20 := @caughtexception	1
$r6 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c1)	interfaceinvoke $r5.<java.util.List: boolean add(java.lang.Object)>($r6)	1
interfaceinvoke $r5.<java.util.List: boolean add(java.lang.Object)>($r6)	$r14 := @caughtexception	0
